param,pair,corr_type,rho,p,n
L,child_surprisal,spearman,0.033418453941206225,0.46792891168475415,474
L,child_attention,spearman,-0.19430783987560094,2.0453748734745565e-05,474
L,surprisal_attention,spearman,-0.22689093810609706,5.976577377592182e-07,474
k,child_surprisal,spearman,-0.13446049356806528,0.0033569017120629705,474
k,child_attention,spearman,0.053887852073247866,0.24160888495217042,474
k,surprisal_attention,spearman,0.14047908864139907,0.002172439308238208,474
x0,child_surprisal,spearman,0.1849835416276394,5.08330381809771e-05,474
x0,child_attention,spearman,-0.12538375403008284,0.006268710659447617,474
x0,surprisal_attention,spearman,0.022173406594335282,0.6301371503628378,474
b,child_surprisal,spearman,-0.02658946185277469,0.5636238947503647,474
b,child_attention,spearman,0.10032037838058633,0.02897148484963362,474
b,surprisal_attention,spearman,-0.11216116669225452,0.01455816743774978,474
